链家编号,标题,小区名称,小区纬度,小区经度,邻近地铁站,所属街道,所属区域,总价,地铁线路,每平方售价,建造时间,室数,厅数,厨数,卫数,所在楼层,楼层总数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯数,户数,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,url,别墅类型,抵押信息
107102345339,内环内世纪公园满五唯一精装两房中楼层诚意出售,牡丹路186弄,31.212354,121.552919,世纪公园站,花木,浦东,450,2,66736,1995,2,1,1,1,高楼层,6,67.43,平层,暂无数据,板楼,南,砖混结构,精装,一,三,无,2020-04-05,商品房,2010-07-13,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102345339.html,,
107102573875,5楼，满五唯一，精装修，不靠路，诚意出售，看房约,爱法新城,31.283734,121.592517,巨峰路站,金桥,浦东,540,6,57077,2002,2,2,1,1,高楼层,6,94.61,平层,94.61㎡,板楼,南 北,钢混结构,精装,一,两,无,2020-05-23,商品房,暂无数据,普通住宅,暂无数据,共有,https://sh.lianjia.com/ershoufang/107102573875.html,,
107102253648,杨思前滩+电梯中层+税少+诚意出售+随时可看，可谈！！,三林世博家园(大道站路94弄),31.164962,121.541312,暂无信息,杨思前滩,浦东,375,暂无信息,49213,2006,2,1,1,1,中楼层,17,76.2,平层,暂无数据,板楼,南,钢混结构,毛坯,一,四,有,2020-03-15,商品房,2020-03-15,普通住宅,未满两年,共有,https://sh.lianjia.com/ershoufang/107102253648.html,,
107102425179,此房满五唯一，南北格局通透，视野宽阔，采光充足,西谈家渡路17弄,31.241109,121.427846,暂无信息,武宁,普陀,217,暂无信息,49073,1990,2,1,1,1,中楼层,7,44.22,平层,暂无数据,板楼,南,钢混结构,简装,一,七,有,2020-04-22,商品房,2012-04-12,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102425179.html,,
107102249065,徐浦大桥全景，江景房，一手动迁毛坯房，高层全明户型,华沁家园,31.143257,121.457209,暂无信息,植物园,徐汇,370,暂无信息,65849,2012,1,1,1,1,高楼层,34,56.19,平层,暂无数据,板塔结合,东南,钢混结构,毛坯,两,六,有,2020-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,https://sh.lianjia.com/ershoufang/107102249065.html,,
107102567239,通风好，前后采光无遮挡，车水马龙寻一处安居之所~,市光三村,31.325647,121.547557,市光路站,中原,杨浦,275,8,44227,1994,2,1,1,1,高楼层,6,62.18,平层,暂无数据,板楼,南,砖混结构,简装,一,三,无,2020-05-22,商品房,2014-04-24,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102567239.html,,
107102479290,一梯俩户，精装修，边套全明，精品小区,虹康花苑(三期),31.21548,121.373509,北新泾站,北新泾,长宁,580,2,74075,2003,2,1,1,1,中楼层,5,78.3,平层,暂无数据,板楼,南 北,钢混结构,精装,一,两,无,2020-05-04,商品房,2012-07-12,普通住宅,未满两年,非共有,https://sh.lianjia.com/ershoufang/107102479290.html,,
107102568604,2期房源，精装修，13平露台（已经封好）客厅带阳台,万科白马花园(公寓),31.082992,121.347044,暂无信息,莘闵别墅,松江,299,暂无信息,41259,2008,2,2,1,1,中楼层,5,72.47,平层,暂无数据,板楼,南,钢混结构,精装,一,两,无,2020-05-22,商品房,2008-05-30,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102568604.html,,
107102529069,龙之梦商圈旁+精装朝南一室户+拎包入住+2楼楼层！！,商业一村,31.281579,121.482695,虹口足球场站,鲁迅公园,虹口,178,3,52093,1960,1,0,0,1,中楼层,5,34.17,平层,暂无数据,板楼,南,砖混结构,精装,一,七,无,2020-05-14,商品房,2015-08-04,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107102529069.html,,
107102387869,动迁房，税费低；楼层高，采光好，有钥匙随时看房,新丰公寓,31.195428,121.241752,暂无信息,华新,青浦,205,暂无信息,27265,2014,2,1,1,0,中楼层,18,75.19,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两,四,有,2020-04-14,动迁安置房,2012-10-17,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102387869.html,,
107102572470,外环内普宅，满五唯一税费少，中间楼层，全明户型,华发小区,31.134424,121.458835,暂无信息,华泾,徐汇,306,暂无信息,52157,1996,2,1,1,1,中楼层,6,58.67,平层,暂无数据,板楼,南,砖混结构,简装,一,四,无,2020-05-23,商品房,1998-09-03,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102572470.html,,
